latent_topic_0,latent_topic_1,latent_topic_2,latent_topic_3,latent_topic_4,latent_topic_5,latent_topic_6,latent_topic_7,latent_topic_8
0.024,0.274,0.0,0.0,0.0,0.0,0.0,0.071,0.045
0.0,0.287,0.0,0.0,0.0,0.025,0.0,0.0,0.0
0.447,0.0,0.328,0.0,0.171,0.0,0.042,0.303,0.0
0.023,0.306,0.043,0.0,0.0,0.0,0.061,0.0,0.0
0.45,0.0,0.222,0.415,0.154,0.0,0.052,0.042,0.0
0.055,0.254,0.0,0.0,0.0,0.0,0.046,0.249,0.0
0.455,0.008,0.076,0.0,0.172,0.008,0.061,0.206,0.0
0.451,0.0,0.0,0.0,0.0,0.0,0.078,0.018,0.205
0.0,0.261,0.0,0.261,0.0,0.0,0.0,0.0,0.0
0.006,0.0,0.247,0.0,0.2,0.0,0.027,0.331,0.0
0.385,0.008,0.226,0.303,0.166,0.0,0.0,0.012,0.0
0.0,0.0,0.249,0.002,0.0,0.0,0.0,0.017,0.0
0.0,0.0,0.223,0.241,0.0,0.0,0.028,0.248,0.0
0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,0.0,0.23,0.003,0.0,0.0,0.0,0.073,0.044
0.017,0.312,0.001,0.338,0.0,0.0,0.043,0.0,0.0
0.0,0.0,0.211,0.223,0.0,0.0,0.0,0.0,0.0
0.009,0.308,0.039,0.0,0.103,0.0,0.057,0.0,0.099
0.0,0.0,0.241,0.01,0.0,0.0,0.0,0.0,0.0
0.0,0.248,0.0,0.258,0.0,0.0,0.141,0.0,0.0
0.496,0.019,0.006,0.0,0.0,0.0,0.023,0.019,0.022
0.0,0.291,0.022,0.005,0.0,0.383,0.19,0.0,0.0
0.0,0.252,0.0,0.0,0.0,0.396,0.0,0.0,0.0
0.324,0.003,0.29,0.0,0.162,0.037,0.059,0.0,0.109
0.439,0.0,0.303,0.0,0.129,0.223,0.0,0.014,0.208
0.0,0.0,0.0,0.0,0.327,0.0,0.362,0.0,0.023
0.0,0.0,0.23,0.002,0.344,0.0,0.0,0.004,0.02
0.0,0.28,0.0,0.0,0.332,0.0,0.393,0.0,0.007
0.362,0.015,0.374,0.0,0.315,0.0,0.0,0.034,0.046
0.0,0.287,0.055,0.0,0.344,0.0,0.032,0.251,0.002
0.25,0.008,0.319,0.309,0.0,0.0,0.06,0.25,0.0
0.011,0.29,0.016,0.0,0.0,0.0,0.226,0.0,0.0
0.0,0.265,0.0,0.245,0.0,0.0,0.005,0.0,0.0
0.0,0.274,0.0,0.0,0.0,0.585,0.038,0.0,0.0
0.006,0.0,0.254,0.003,0.0,0.004,0.382,0.082,0.026
0.0,0.273,0.055,0.0,0.018,0.02,0.078,0.0,0.0
0.0,0.272,0.009,0.0,0.32,0.0,0.454,0.0,0.011
